thrL	[189:255](+)	['ECDH10B_0001']
yjgK	[4574692:4575145](+)	['ECDH10B_4445']
yjgL	[4575267:4577082](+)	['ECDH10B_4446']
rraB	[4578303:4578720](+)	['ECDH10B_4448']
yjgN	[4579560:4580757](+)	['ECDH10B_4450']
yjgP	[4586048:4587149](+)	['ECDH10B_4454']
yjgQ	[4587148:4588231](+)	['ECDH10B_4455']
idnK	[4594453:4595017](+)	['ECDH10B_4461']
intB	[4596580:4597771](+)	['ECDH10B_4464']
insC-6	[4598057:4598468](+)	['ECDH10B_4465']
insD-6	[4598425:4599331](+)	['ECDH10B_4466']
yjgW	[4599429:4599765](+)	['ECDH10B_4467']
yjgZ	[4601090:4601420](+)	['ECDH10B_4472']
yjhB	[4603888:4605106](+)	['ECDH10B_4474']
yjhC	[4605117:4606236](+)	['ECDH10B_4475']
yjhE	[4606691:4606940](+)	['ECDH10B_4477']
insN-2	[4607027:4607294](+)	['ECDH10B_4478']
insO-2	[4608788:4609385](+)	['ECDH10B_4481']
yjhV	[4609550:4609964](+)	['ECDH10B_4484']
insA-7	[4618357:4618633](+)	['ECDH10B_4492']
yjhR	[4634621:4635862](+)	['ECDH10B_4511']
yjjQ	[4647961:4648687](+)	['ECDH10B_4521']
bglJ	[4648698:4649322](+)	['ECDH10B_4522']
yjjZ	[4650288:4650525](+)	['ECDH10B_4524']
holD	[4652287:4652701](+)	['ECDH10B_4529']
rimI	[4652669:4653116](+)	['ECDH10B_4530']
yjjG	[4653130:4653808](+)	['ECDH10B_4531']
prfC	[4653898:4655488](+)	['ECDH10B_4532']
osmY	[4655880:4656486](+)	['ECDH10B_4533']
ytjA	[4656594:4656774](+)	['ECDH10B_4534']
yjjU	[4656895:4657969](+)	['ECDH10B_4535']
yjjV	[4657965:4658745](+)	['ECDH10B_4536']
deoC	[4661807:4662587](+)	['ECDH10B_4539']
deoA	[4662713:4664036](+)	['ECDH10B_4540']
deoB	[4664087:4665311](+)	['ECDH10B_4541']
deoD	[4665367:4666087](+)	['ECDH10B_4542']
yjjJ	[4666253:4667585](+)	['ECDH10B_4543']
serB	[4669379:4670348](+)	['ECDH10B_4546']
radA	[4670396:4671779](+)	['ECDH10B_4547']
nadR	[4671799:4673032](+)	['ECDH10B_4548']
slt	[4675217:4677155](+)	['ECDH10B_4550']
trpR	[4677244:4677571](+)	['ECDH10B_4551']
ytjC	[4678281:4678929](+)	['ECDH10B_4553']
creA	[4680005:4680479](+)	['ECDH10B_4555']
creB	[4680491:4681181](+)	['ECDH10B_4556']
creC	[4681180:4682605](+)	['ECDH10B_4557']
creD	[4682662:4684015](+)	['ECDH10B_4558']
yjjY	[4684886:4685027](+)	['ECDH10B_4560']
yjtD	[4685426:4686113](+)	['ECDH10B_4561']
